Komoditas,Luas Panen Padi,GKP Tingkat Petani,GKP Tingkat Penggilingan,GKG Tingkat Penggilingan,Beras Medium Penggilingan,Beras Premium Penggilingan,Jagung Pipilan Kering,Kedelai Biji Kering (Lokal),Bawang Merah,Cabai Merah Keriting,Cabai Rawit Merah,Sapi (Hidup),Ayam Ras Pedaging (Hidup),Telur Ayam Ras,Stok GKG Tingkat Penggilingan,Stok Beras Tingkat Penggilingan
03/10/2023,30,6.460,6.860,7.790,12.620,13.420,5.940,10.990,11.400,21.380,21.190,52.670,22.330,23.150,70,20
04/10/2023,10,6.490,6.850,7.810,12.600,13.420,5.930,10.990,11.400,22.300,21.040,52.940,22.170,23.270,80,20
05/10/2023,30,6.410,6.840,7.780,12.600,13.450,5.760,10.990,11.110,22.440,21.610,52.810,22.440,23.110,80,20
06/10/2023,40,6.510,6.900,7.770,12.620,13.420,5.850,10.990,11.400,22.350,21.180,52.600,22.820,23.200,70,10
07/10/2023,40,6.510,6.890,7.770,12.630,13.550,5.880,11.140,11.400,23.190,21.710,52.360,22.880,23.220,150,10
08/10/2023,10,6.510,7.010,7.820,12.620,13.420,5.840,11.140,11.700,21.680,19.970,52.740,22.500,23.180,30,10
09/10/2023,10,6.540,6.870,7.760,12.600,13.430,5.890,11.140,11.400,22.820,22.730,52.670,22.410,23.150,40,10
10/10/2023,10,6.510,6.900,7.790,12.680,13.420,5.890,11.140,11.400,22.220,23.400,52.810,22.540,23.290,70,10
11/10/2023,40,6.510,6.910,7.820,12.670,13.450,5.910,11.140,11.400,21.620,24.950,52.800,22.420,23.260,80,20
12/10/2023,10,6.540,6.930,7.830,12.660,13.450,5.910,11.140,11.400,21.900,25.530,53.010,22.590,23.340,80,20
13/10/2023,10,6.540,6.790,7.850,12.670,13.450,5.960,11.140,11.580,21.970,25.830,53.160,22.310,23.270,70,20
14/10/2023,10,6.590,6.910,7.900,12.760,13.510,6.100,11.500,11.580,23.070,25.830,52.670,22.290,23.040,50,10
15/10/2023,30,6.590,6.740,7.890,12.750,13.510,6.130,11.500,12.470,23.910,25.760,52.870,22.380,23.000,60,20
16/10/2023,20,6.560,6.840,7.860,12.670,13.480,5.860,11.140,11.320,24.210,28.510,52.940,22.300,22.950,80,20
17/10/2023,30,6.690,6.890,7.880,12.570,13.370,6.080,11.730,11.580,24.430,28.550,52.790,22.190,23.170,90,20
18/10/2023,40,6.540,6.850,7.880,12.680,13.450,5.940,11.090,11.580,24.820,29.420,52.870,22.170,23.060,90,20
19/10/2023,10,6.560,6.900,7.880,12.720,13.470,6.000,11.140,11.580,25.140,30.060,52.740,22.260,23.140,80,20
20/10/2023,40,6.540,6.850,7.850,12.670,13.430,6.010,11.140,11.320,25.580,33.560,52.880,22.160,23.140,90,20
21/10/2023,10,6.540,7.020,7.920,12.710,13.470,5.990,11.140,11.930,23.780,28.200,52.880,22.220,23.060,60,20
22/10/2023,30,6.660,6.940,7.860,12.570,13.380,6.110,11.140,11.580,24.250,30.790,52.790,22.420,23.000,100,20
23/10/2023,40,6.510,6.900,7.860,12.680,13.430,5.960,11.140,11.750,24.490,31.430,52.130,22.250,22.850,70,20
24/10/2023,20,6.530,6.930,7.860,12.680,13.430,5.970,11.250,11.520,24.710,31.520,52.880,22.020,23.060,70,20
25/10/2023,20,6.560,6.950,7.870,12.560,13.340,6.050,11.250,11.700,25.420,30.990,53.640,22.220,22.760,100,20
26/10/2023,10,6.530,6.920,7.750,12.700,13.480,5.920,11.250,11.520,24.840,31.910,52.560,22.130,22.890,90,20
27/10/2023,30,6.550,6.960,7.830,12.670,13.420,5.900,11.250,11.940,25.020,33.250,52.740,22.220,22.770,70,20
28/10/2023,40,6.620,7.000,7.840,12.590,13.340,6.050,11.250,12.140,27.330,38.610,52.880,22.230,22.970,90,30
29/10/2023,40,6.550,6.970,7.810,12.560,13.420,5.920,11.250,11.940,27.410,41.340,53.010,22.340,23.120,60,30
30/10/2023,10,6.510,6.920,7.830,12.680,13.420,5.900,11.250,11.940,31.800,48.930,52.160,22.670,23.000,60,10
31/10/2023,10,6.540,6.910,7.810,12.650,13.400,5.850,11.250,12.040,32.870,52.940,51.830,22.350,22.840,80,20
01/11/2023,10,6.560,6.880,7.810,12.700,13.390,5.870,11.250,12.190,33.050,49.780,53.010,22.400,22.950,70,20
02/11/2023,10,6.560,6.880,7.840,12.670,13.370,5.900,11.250,12.650,32.500,49.770,52.940,22.380,22.850,50,10
03/11/2023,30,6.560,6.900,7.810,12.620,13.370,5.910,11.250,12.650,33.390,53.300,52.880,22.280,22.910,60,20
04/11/2023,10,6.560,6.780,7.830,12.630,13.340,5.900,11.250,12.740,34.970,54.520,52.070,22.250,23.050,50,10
